,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
48,1629658,00,0,13,0,103.0,15,32,0.46875,0,3,0.0,8,13,0.615384,14,18,32,4,5,0,4,12,38
49,1628988,00,0,108,26,2014.0,307,758,0.405013,123,330,0.372727,103,122,0.844262,26,173,199,280,66,26,115,173,840
50,201950,00,0,707,634,23507.0,4430,9791,0.452456,920,2592,0.354938,1444,1859,0.776761,610,2157,2767,4529,1056,360,1939,1620,11224
51,203200,00,0,422,164,9700.0,1208,3040,0.397368,617,1705,0.361876,412,499,0.825651,158,1064,1222,607,416,177,380,648,3445
52,1626178,00,0,286,152,6530.0,979,2186,0.447849,43,201,0.21393,689,933,0.738478,421,1208,1629,550,274,157,380,595,2690
53,1626158,00,0,265,57,4950.0,911,1561,0.5836,39,152,0.256578,368,508,0.724409,446,867,1313,251,162,258,213,671,2229
54,203918,00,0,341,248,9325.0,1536,3606,0.425956,583,1566,0.372286,592,706,0.838526,120,860,980,645,262,67,379,750,4247
55,201143,00,0,846,839,27634.0,4967,9557,0.519723,454,1256,0.361464,1426,1891,0.754098,1787,5223,7010,2792,688,1002,1329,1929,11814
56,1629659,00,0,2,0,5.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,0,0
57,1627863,00,0,121,63,3121.0,380,863,0.440324,202,547,0.369287,149,187,0.796791,94,369,463,143,92,49,95,222,1111
58,2730,00,0,1106,1045,37177.0,6725,11474,0.586107,9,68,0.132352,5123,9065,0.56514,3827,9814,13641,1577,1013,2127,3132,3575,18582
59,1629739,00,0,2,0,13.0,0,4,0.0,0,4,0.0,0,0,0.0,0,2,2,1,0,0,1,1,0
60,1628989,00,0,131,107,3809.0,527,1267,0.415943,263,687,0.382823,94,120,0.783333,95,378,473,427,116,52,196,294,1411
61,1629631,00,0,63,62,2018.0,280,683,0.409956,108,304,0.355263,110,144,0.763888,44,242,286,112,44,18,103,182,778
62,1628990,00,0,72,24,1421.0,176,384,0.458333,26,88,0.295454,69,116,0.594827,49,244,293,60,50,13,52,106,447
63,201586,00,0,803,646,23002.0,4195,8154,0.514471,528,1461,0.361396,1181,1554,0.759974,1734,4172,5906,618,347,1668,1080,2264,10099
64,2738,00,0,1122,779,37293.0,4867,10449,0.465786,998,2990,0.333779,2785,3926,0.709373,1049,4635,5684,4849,1671,568,2127,2038,13517
65,101141,00,0,801,423,18720.0,3093,6970,0.443758,861,2355,0.365605,1220,1573,0.775588,1388,3218,4606,902,549,287,782,1957,8267
66,204060,00,0,470,260,11948.0,1387,3110,0.44598,792,1948,0.40657,311,416,0.747596,146,1371,1517,1695,468,71,746,878,3877
67,1627742,00,0,246,207,7933.0,1465,3182,0.460402,264,740,0.356756,803,1115,0.720179,207,1040,1247,791,179,147,568,632,3997
68,202681,00,0,528,528,17827.0,4346,9332,0.465709,1119,2870,0.389895,2031,2316,0.876943,407,1548,1955,3013,699,187,1394,1171,11842
69,1628371,00,0,134,106,3480.0,466,1078,0.432282,132,403,0.327543,185,233,0.793991,172,560,732,142,142,206,149,270,1249
70,1628411,00,0,175,43,3064.0,283,686,0.412536,59,192,0.307291,180,226,0.79646,96,338,434,176,86,45,92,266,805
71,1628402,00,0,112,17,1825.0,293,704,0.416193,92,289,0.318339,102,137,0.744525,44,161,205,110,40,6,91,159,780
72,1628367,00,0,174,64,4304.0,804,1928,0.417012,153,514,0.297665,349,536,0.651119,172,584,756,333,172,100,344,466,2110
73,1628382,00,0,207,57,4049.0,526,1215,0.432921,189,581,0.325301,124,159,0.779874,98,443,541,219,72,37,81,238,1365
74,202704,00,0,553,343,13934.0,2653,6198,0.428041,647,1923,0.336453,1176,1372,0.857142,302,1332,1634,2431,387,66,1067,1075,7129
75,1628991,00,0,112,110,3027.0,626,1290,0.485271,186,482,0.385892,274,363,0.75482,126,400,526,140,88,169,192,439,1712
76,1629713,00,0,34,0,218.0,33,78,0.423076,9,26,0.346153,10,21,0.47619,6,24,30,16,6,9,8,16,85
77,2544,00,0,1258,1257,48328.0,12424,24654,0.503934,1860,5409,0.343871,7379,10044,0.734667,1502,7851,9353,9298,2011,951,4402,2313,34087
78,1628518,00,0,30,0,143.0,15,30,0.5,0,0,0.0,12,22,0.545454,16,28,44,7,4,6,4,15,42
79,1629610,00,0,6,0,19.0,3,7,0.428571,1,4,0.25,0,0,0.0,1,0,1,1,1,0,0,3,7
80,1629660,00,0,28,0,315.0,37,106,0.349056,13,47,0.276595,11,14,0.785714,6,35,41,43,14,3,18,28,98
81,1628993,00,0,27,0,118.0,11,31,0.354838,1,2,0.5,8,14,0.571428,11,26,37,3,1,3,3,13,31
82,1629168,00,0,15,0,96.0,14,36,0.388888,4,13,0.307692,4,4,1.0,3,11,14,2,4,0,5,4,36
