,PLAYER_NAME_LAST_FIRST,PLAYER_ID,GAMESTREAK,STARTDATE,ENDDATE,ACTIVESTREAK,NUMSEASONS,LASTSEASON,FIRSTSEASON,PTS,PTS_PG
26,"English, Alex",76673,200,1987-02-10T00:00:00,1989-11-09T00:00:00,0,4,1989-90,1986-87,5219,26.1
27,"Dantley, Adrian",76504,192,1983-10-28T00:00:00,1986-03-04T00:00:00,0,3,1985-86,1983-84,5572,29.0
28,"Nowitzki, Dirk",1717,190,2004-03-14T00:00:00,2006-11-27T00:00:00,0,4,2006-07,2003-04,4958,26.1
29,"Short, Purvis",78139,190,1983-12-28T00:00:00,1986-03-18T00:00:00,0,3,1985-86,1983-84,5023,26.4
30,"Iverson, Allen",947,186,2000-11-24T00:00:00,2003-03-18T00:00:00,0,3,2002-03,2000-01,5677,30.5
31,"Olajuwon, Hakeem",165,184,1985-02-19T00:00:00,1987-11-25T00:00:00,0,4,1987-88,1984-85,4197,22.8
32,"Malone, Karl",252,183,1999-03-30T00:00:00,2001-04-17T00:00:00,0,3,2000-01,1998-99,4490,24.5
33,"English, Alex",76673,182,1984-12-22T00:00:00,1987-02-03T00:00:00,0,3,1986-87,1984-85,5290,29.1
34,"Vandeweghe, Kiki",78404,178,1985-04-12T00:00:00,1988-02-11T00:00:00,0,4,1987-88,1984-85,4565,25.6
35,"Payton, Gary",56,176,2001-02-07T00:00:00,2003-03-12T00:00:00,0,3,2002-03,2000-01,3859,21.9
36,"Malone, Karl",252,176,1988-03-16T00:00:00,1990-04-12T00:00:00,0,3,1989-90,1987-88,5334,30.3
37,"Wilkins, Dominique",1122,176,1984-03-14T00:00:00,1986-11-02T00:00:00,0,4,1986-87,1983-84,4995,28.4
38,"Daugherty, Brad",921,172,1990-02-03T00:00:00,1992-03-15T00:00:00,0,3,1991-92,1989-90,3556,20.7
39,"Cummings, Terry",187,169,1983-10-28T00:00:00,1985-11-09T00:00:00,0,3,1985-86,1983-84,3861,22.8
40,"Bryant, Kobe",977,166,2008-02-06T00:00:00,2010-02-01T00:00:00,0,3,2009-10,2007-08,4597,27.7
41,"Cousins, DeMarcus",202326,164,2015-12-30T00:00:00,2019-01-18T00:00:00,0,4,2018-19,2015-16,4367,26.6
42,"Richmond, Mitch",782,164,1992-11-18T00:00:00,1995-02-18T00:00:00,0,3,1994-95,1992-93,3748,22.9
43,"Richmond, Mitch",782,162,1990-04-16T00:00:00,1992-11-10T00:00:00,0,4,1992-93,1989-90,3751,23.2
