,id,full_name,first_name,last_name,is_active
1441,76833,Wilfred Goodwin,Wilfred,Goodwin,False
1442,203932,Aaron Gordon,Aaron,Gordon,True
1443,2732,Ben Gordon,Ben,Gordon,False
1444,204079,Drew Gordon,Drew,Gordon,False
1445,201569,Eric Gordon,Eric,Gordon,True
1446,76834,Lancaster Gordon,Lancaster,Gordon,False
1447,76835,Paul Gordon,Paul,Gordon,False
1448,101162,Marcin Gortat,Marcin,Gortat,False
1449,76836,Leo Gottlieb,Leo,Gottlieb,False
1450,202726,Andrew Goudelock,Andrew,Goudelock,False
1451,76837,Bato Govedarica,Bato,Govedarica,False
1452,76838,Joe Graboski,Joe,Graboski,False
1453,76839,Ricky Grace,Ricky,Grace,False
1454,1628984,Devonte' Graham,Devonte',Graham,True
1455,37,Greg Graham,Greg,Graham,False
1456,101121,Joey Graham,Joey,Graham,False
1457,76843,Mal Graham,Mal,Graham,False
1458,76841,Orlando Graham,Orlando,Graham,False
1459,76842,Paul Graham,Paul,Graham,False
1460,101211,Stephen Graham,Stephen,Graham,False
1461,1626203,Treveon Graham,Treveon,Graham,True
1462,76844,Jim Grandholm,Jim,Grandholm,False
1463,97,Ronnie Grandison,Ronnie,Grandison,False
1464,101122,Danny Granger,Danny,Granger,False
1465,76847,Stewart Granger,Stewart,Granger,False
1466,258,Brian Grant,Brian,Grant,False
1467,76850,Bud Grant,Bud,Grant,False
1468,202,Gary Grant,Gary,Grant,False
1469,285,Greg Grant,Greg,Grant,False
1470,265,Harvey Grant,Harvey,Grant,False
1471,270,Horace Grant,Horace,Grant,False
1472,203924,Jerami Grant,Jerami,Grant,True
1473,1626170,Jerian Grant,Jerian,Grant,False
1474,76852,Josh Grant,Josh,Grant,False
1475,1514,Paul Grant,Paul,Grant,False
1476,76853,Travis Grant,Travis,Grant,False
1477,1629055,Donte Grantham,Donte,Grantham,False
1478,76854,Don Grate,Don,Grate,False
1479,76855,Butch Graves,Butch,Graves,False
1480,201189,Aaron Gray,Aaron,Gray,False
1481,1070,Devin Gray,Devin,Gray,False
1482,1516,Ed Gray,Ed,Gray,False
1483,1026,Evric Gray,Evric,Gray,False
1484,76859,Gary Gray,Gary,Gray,False
1485,1627982,Josh Gray,Josh,Gray,True
1486,76860,Leonard Gray,Leonard,Gray,False
1487,76861,Stuart Gray,Stuart,Gray,False
1488,76862,Sylvester Gray,Sylvester,Gray,False
1489,76863,Wyndol Gray,Wyndol,Gray,False
1490,81,Jeff Grayer,Jeff,Grayer,False
1491,76865,Bob Greacen,Bob,Greacen,False
1492,920,A.C. Green,A.C.,Green,False
1493,201980,Danny Green,Danny,Green,True
1494,101209,Devin Green,Devin,Green,False
1495,203110,Draymond Green,Draymond,Green,True
1496,203475,Erick Green,Erick,Green,False
1497,101123,Gerald Green,Gerald,Green,True
1498,203210,JaMychal Green,JaMychal,Green,True
1499,1629750,Javonte Green,Javonte,Green,True
1500,201145,Jeff Green,Jeff,Green,True
1501,76867,Johnny Green,Johnny,Green,False
1502,76868,Ken Green,Ken,Green,False
1503,76869,Kenny Green,Kenny,Green,False
1504,600011,Lamar Green,Lamar,Green,False
1505,1036,Litterial Green,Litterial,Green,False
1506,76872,Luther Green,Luther,Green,False
1507,76873,Mike Green,Mike,Green,False
1508,76874,Rickey Green,Rickey,Green,False
1509,76875,Sean Green,Sean,Green,False
1510,76877,Si Green,Si,Green,False
1511,76876,Sidney Green,Sidney,Green,False
1512,76878,Steve Green,Steve,Green,False
1513,201192,Taurean Green,Taurean,Green,False
1514,76879,Tommy Green,Tommy,Green,False
1515,2584,Willie Green,Willie,Green,False
1516,201590,Donte Greene,Donte,Greene,False
1517,101158,Orien Greene,Orien,Greene,False
1518,76880,Jerry Greenspan,Jerry,Greenspan,False
1519,76881,David Greenwood,David,Greenwood,False
1520,76882,Hal Greer,Hal,Greer,False
1521,2696,Lynn Greer,Lynn,Greer,False
1522,76883,Gary Gregor,Gary,Gregor,False
1523,76884,Claude Gregory,Claude,Gregory,False
1524,76885,John Greig,John,Greig,False
1525,76886,Norm Grekin,Norm,Grekin,False
1526,76887,Kevin Grevey,Kevin,Grevey,False
1527,1559,Adrian Griffin,Adrian,Griffin,False
1528,201933,Blake Griffin,Blake,Griffin,True
1529,2204,Eddie Griffin,Eddie,Griffin,False
1530,76888,Greg Griffin,Greg,Griffin,False
1531,76889,Paul Griffin,Paul,Griffin,False
1532,201981,Taylor Griffin,Taylor,Griffin,False
1533,76890,Darrell Griffith,Darrell,Griffith,False
1534,76891,Chuck Grigsby,Chuck,Grigsby,False
1535,1575,Derek Grimm,Derek,Grimm,False
1536,76893,George Grimshaw,George,Grimshaw,False
1537,76894,Dick Groat,Dick,Groat,False
1538,76895,Bob Gross,Bob,Gross,False
1539,76896,Jerry Grote,Jerry,Grote,False
1540,76897,Alex Groza,Alex,Groza,False
1541,101219,Anthony Grundy,Anthony,Grundy,False
1542,76899,Ernie Grunfeld,Ernie,Grunfeld,False
1543,76900,Gene Guarilia,Gene,Guarilia,False
1544,76901,Petur Gudmundsson,Petur,Gudmundsson,False
1545,1629741,Marko Guduric,Marko,Guduric,True
1546,76902,Richie Guerin,Richie,Guerin,False
1547,339,Tom Gugliotta,Tom,Gugliotta,False
1548,76903,Andres Guibert,Andres,Guibert,False
1549,76904,Jay Guidinger,Jay,Guidinger,False
1550,76905,Coulby Gunther,Coulby,Gunther,False
1551,76906,Dave Gunther,Dave,Gunther,False
1552,76907,Al Guokas,Al,Guokas,False
1553,76908,Matt Guokas,Matt,Guokas,False
1554,76909,Matt Guokas,Matt,Guokas,False
1555,203268,Jorge Gutierrez,Jorge,Gutierrez,False
1556,1629657,Kyle Guy,Kyle,Guy,True
1557,2062,A.J. Guyton,A.J.,Guyton,False
1558,2775,Ha Seung-jin,,Ha Seung-jin,False
1559,1629060,Rui Hachimura,Rui,Hachimura,True
1560,76910,Rudy Hackett,Rudy,Hackett,False
1561,201632,Hamed Haddadi,Hamed,Haddadi,False
1562,76911,Scott Haffner,Scott,Haffner,False
1563,76912,Cliff Hagan,Cliff,Hagan,False
1564,76913,Glenn Hagan,Glenn,Hagan,False
1565,76914,Bob Hahn,Bob,Hahn,False
1566,76915,Al Hairston,Al,Hairston,False
1567,76916,Happy Hairston,Happy,Hairston,False
1568,76917,Lindsay Hairston,Lindsay,Hairston,False
1569,201612,Malik Hairston,Malik,Hairston,False
1570,203798,PJ Hairston,PJ,Hairston,False
1571,2409,Marcus Haislip,Marcus,Haislip,False
1572,76918,Chuck Halbert,Chuck,Halbert,False
1573,76919,Harvey Halbrook,Harvey,Halbrook,False
1574,76920,Bruce Hale,Bruce,Hale,False
1575,917,Jack Haley,Jack,Haley,False
1576,76922,Shaler Halimon,Shaler,Halimon,False
1577,1628985,Devon Hall,Devon,Hall,True
1578,200837,Mike Hall,Mike,Hall,False
1579,76923,Jeff Halliburton,Jeff,Halliburton,False
1580,1032,Darvin Ham,Darvin,Ham,False
1581,984,Steve Hamer,Steve,Hamer,False
1582,76925,Dale Hamilton,Dale,Hamilton,False
1583,1627772,Daniel Hamilton,Daniel,Hamilton,False
1584,76926,Dennis Hamilton,Dennis,Hamilton,False
1585,202706,Jordan Hamilton,Jordan,Hamilton,False
1586,203120,Justin Hamilton,Justin,Hamilton,False
1587,76927,Ralph Hamilton,Ralph,Hamilton,False
1588,1888,Richard Hamilton,Richard,Hamilton,False
1589,76928,Roylee Hamilton,Roylee,Hamilton,False
1590,76929,Steve Hamilton,Steve,Hamilton,False
1591,2347,Tang Hamilton,Tang,Hamilton,False
1592,676,Thomas Hamilton,Thomas,Hamilton,False
1593,1985,Zendon Hamilton,Zendon,Hamilton,False
1594,903,Geert Hammink,Geert,Hammink,False
1595,67,Tom Hammonds,Tom,Hammonds,False
1596,1627773,AJ Hammons,AJ,Hammons,False
1597,241,Darrin Hancock,Darrin,Hancock,False
1598,1052,Ben Handlogten,Ben,Handlogten,False
1599,76935,Cecil Hankins,Cecil,Hankins,False
1600,76936,Phil Hankinson,Phil,Hankinson,False
